2018-05-07 11:37:12,038 [main] INFO  utils.VerifiableProperties - Verifying properties
2018-05-07 11:37:12,422 [main] WARN  utils.VerifiableProperties - Property enable.auto.commit is not valid
2018-05-07 11:37:12,423 [main] INFO  utils.VerifiableProperties - Property group.id is overridden to customer
2018-05-07 11:37:12,424 [main] INFO  utils.VerifiableProperties - Property zookeeper.connect is overridden to localhost:2181
2018-05-07 11:37:12,424 [main] INFO  utils.VerifiableProperties - Property zookeeper.sync.time.ms is overridden to 200
2018-05-07 11:37:13,681 [main] INFO  consumer.ZookeeperConsumerConnector - [customer_prof.Copper-1525667833608-6ed28321], Connecting to zookeeper instance at localhost:2181
2018-05-07 11:37:13,777 [ZkClient-EventThread-14-localhost:2181] INFO  zkclient.ZkEventThread - Starting ZkClient event thread.
2018-05-07 11:37:13,972 [main] INFO  zookeeper.ZooKeeper - Client environment:zookeeper.version=3.4.6-1569965, built on 02/20/2014 09:09 GMT
2018-05-07 11:37:13,973 [main] INFO  zookeeper.ZooKeeper - Client environment:host.name=localhost
2018-05-07 11:37:13,973 [main] INFO  zookeeper.ZooKeeper - Client environment:java.version=1.8.0_73
2018-05-07 11:37:13,973 [main] INFO  zookeeper.ZooKeeper - Client environment:java.vendor=Oracle Corporation
2018-05-07 11:37:13,973 [main] INFO  zookeeper.ZooKeeper - Client environment:java.home=/usr/lib/jvm/jdk1.8.0_73/jre
